State,salary,sector
Florida,24967.2,Customer Support/Client Care
Colorado,147722.6,IT/Software Development
California,35370.2,Administrative/Clerical
Minnesota,37450.8,Accounting/Finance/Insurance
Minnesota,35370.2,Business/Strategic Management
Nevada,39531.4,Experienced (Non-Manager)
California,83224,Experienced (Non-Manager)
California,20806,Accounting/Finance/Insurance
Massachusetts,40571.7,Accounting/Finance/Insurance
Michigan,34329.9,Accounting/Finance/Insurance
Michigan,47853.8,Accounting/Finance/Insurance
New jersey,27047.8,Experienced (Non-Manager)
Florida,24655.11,Security/Protective Services
Delaware,29128.4,Experienced (Non-Manager)
New York,64352.958,Security/Protective Services
Virginia,33289.6,Security/Protective Services
Maryland,44732.9,Security/Protective Services
Florida,12743.675,Experienced (Non-Manager)
Texas,124836,IT/Software Development
Ohio,22886.6,Entry Level
Florida,24967.2,Security/Protective Services
Florida,27047.8,Security/Protective Services
Texas,28088.1,Experienced (Non-Manager)
Texas,27047.8,Administrative/Clerical
Delaware,29128.4,Experienced (Non-Manager)
Texas,124836,IT/Software Development
New York,56009.752,Security/Protective Services
Washington,38387.07,Experienced (Non-Manager)
Colorado,35370.2,Customer Support/Client Care
Indiana,21326.15,Entry Level
Iowa,40571.7,Security/Protective Services
Texas,30168.7,Administrative/Clerical
Texas,88425.5,IT/Software Development
Ohio,62418,IT/Software Development
Texas,228866,IT/Software Development
California,67619.5,IT/Software Development
Iowa,41612,Experienced (Non-Manager)
Texas,20806,IT/Software Development
Texas,182052.5,IT/Software Development
Tennessee,62418,IT/Software Development
South carolina,62418,IT/Software Development
Texas,135239,IT/Software Development
Wisconsin,62418,IT/Software Development
North Carolina,60337.4,Biotech/R&D/Science
Florida,22886.6,Sales/Retail/Business Development
California,39531.4,Experienced (Non-Manager)
Kentucky,47853.8,Biotech/R&D/Science
Iowa,41445.552,Entry Level
Pennsylvania,60337.4,Medical/Health
Texas,49934.4,Human Resources
Texas,28608.25,Customer Support/Client Care
Ohio,15604.5,Marketing/Product
California,161246.5,Experienced (Non-Manager)
North Carolina,78022.5,Project/Program Management
Tennessee,38491.1,Legal
California,20806,Accounting/Finance/Insurance
Tennessee,32769.45,Experienced (Non-Manager)
Colorado,45773.2,Human Resources
California,57216.5,Human Resources
California,30168.7,Accounting/Finance/Insurance
California,41612,Accounting/Finance/Insurance
California,21846.3,Accounting/Finance/Insurance
Oklahoma,39531.4,Experienced (Non-Manager)
North Carolina,92586.7,IT/Software Development
South carolina,43692.6,Medical/Health
North Carolina,35370.2,Entry Level
Ohio,28608.25,Experienced (Non-Manager)
South carolina,43692.6,Medical/Health
Tennessee,36410.5,Entry Level
Florida,109231.5,IT/Software Development
California,140440.5,Experienced (Non-Manager)
Missouri,29128.4,Experienced (Non-Manager)
New jersey,178411.45,Experienced (Non-Manager)
Illinois,32207.688,Medical/Health
South carolina,92586.7,IT/Software Development
Texas,39531.4,Experienced (Non-Manager)
Ohio,47853.8,Experienced (Non-Manager)
California,119634.5,Experienced (Non-Manager)
New hampshire,85304.6,Experienced (Non-Manager)
Kentucky,39531.4,Experienced (Non-Manager)
Florida,65538.9,IT/Software Development
Florida,104030,IT/Software Development
Florida,67619.5,Entry Level
Virginia,40571.7,Experienced (Non-Manager)
Tennessee,98828.5,IT/Software Development
Tennessee,41653.612,Legal
Florida,26007.5,Experienced (Non-Manager)
Missouri,24967.2,Experienced (Non-Manager)
Texas,29128.4,Medical/Health
Ohio,47853.8,Medical/Health
Ohio,93627,Systems Analysis - ITWeb/UI/UX Design
Ohio,62418,Experienced (Non-Manager)
Florida,62418,Quality Assurance/Safety
New jersey,33809.75,Experienced (Non-Manager)
Ohio,33289.6,Experienced (Non-Manager)
Ohio,21180.508,Entry Level
Ohio,18725.4,Medical/Health
Ohio,26007.5,Entry Level
Ohio,31209,Experienced (Non-Manager)
Ohio,47198.411,Installation/Maintenance/Repair
Ohio,43692.6,Engineering
Ohio,135239,IT/Software Development
Ohio,20806,Entry Level
Ohio,46813.5,Experienced (Non-Manager)
Ohio,45273.856,Entry Level
Ohio,28088.1,Entry Level
Ohio,223664.5,Experienced (Non-Manager)
Ohio,23926.9,Student (High School)
Ohio,36088.007,Experienced (Non-Manager)
Ohio,33289.6,Entry Level
Ohio,23926.9,Entry Level
Ohio,24967.2,Student (High School)
Ohio,26007.5,Entry Level
Ohio,23926.9,Medical/Health
Ohio,23926.9,Entry Level
Ohio,32249.3,Experienced (Non-Manager)
California,34329.9,Experienced (Non-Manager)
California,72821,Experienced (Non-Manager)
Connecticut,67328.216,Legal
Ohio,26007.5,Experienced (Non-Manager)
Oklahoma,75941.9,Experienced (Non-Manager)
Michigan,28088.1,Experienced (Non-Manager)
Florida,24967.2,Experienced (Non-Manager)
Florida,39531.4,Experienced (Non-Manager)
New jersey,62938.15,Experienced (Non-Manager)
Colorado,36410.5,Experienced (Non-Manager)
New York,39531.4,Experienced (Non-Manager)
Kentucky,31209,Experienced (Non-Manager)
Florida,24967.2,Experienced (Non-Manager)
New York,31209,Entry Level
Washington,15604.5,Experienced (Non-Manager)
New York,43692.6,Entry Level
Indiana,28088.1,Experienced (Non-Manager)
California,35370.2,Experienced (Non-Manager)
Colorado,67619.5,Experienced (Non-Manager)
Texas,114433,IT/Software Development
Texas,124836,Experienced (Non-Manager)
Texas,41612,Experienced (Non-Manager)
Illinois,44732.9,Manufacturing/Production/Operations
Florida,29128.4,Entry Level
Indiana,19037.49,Food Services/Hospitality
New jersey,65538.9,Food Services/Hospitality
Indiana,30668.044,Legal
New jersey,45773.2,Experienced (Non-Manager)
Massachusetts,36410.5,Installation/Maintenance/Repair
New York,31209,Experienced (Non-Manager)
Massachusetts,228866,Accounting/Finance/Insurance
Georgia,52015,IT/Software Development
Florida,14564.2,Accounting/Finance/Insurance
Georgia,45773.2,Marketing/Product
Georgia,68659.8,Medical/Health
Nevada,31209,Sales/Retail/Business Development
Wisconsin,56550.708,Experienced (Non-Manager)
Nevada,33289.6,Experienced (Non-Manager)
Wisconsin,31812.374,Administrative/Clerical
Nevada,78022.5,Medical/Health
Wisconsin,36410.5,Accounting/Finance/Insurance
Wisconsin,24967.2,Entry Level
Nevada,40571.7,Experienced (Non-Manager)
Wisconsin,22886.6,Experienced (Non-Manager)
Wisconsin,59193.07,General/Other: Medical/HealthVeterinary/Animal Care
Tennessee,27047.8,Accounting/Finance/Insurance
Nevada,22366.45,Customer Support/Client Care
Nevada,52015,Human Resources
Wisconsin,42485.852,Veterinary/Animal Care
Wisconsin,31604.314,Banking/Real Estate/Mortgage Professionals
Wisconsin,31812.374,Administrative/Clerical
Nevada,31209,Customer Support/Client Care
Ohio,23042.645,Experienced (Non-Manager)
Texas,69700.1,Entry Level
Texas,68659.8,Experienced (Non-Manager)
Texas,102989.7,Medical/Health
