,location,salary,sector
0,Florida,12.00 - 12.00 $ /hour,Customer Support/Client Care
1,Colorado,60.00 - 82.00 $ /hour,IT/Software Development
2,California,15.00 - 19.00 $ /hour,Administrative/Clerical
3,Minnesota,15.00 - 21.00 $ /hour,Accounting/Finance/Insurance
4,Minnesota,17.00 - 17.00 $ /hour,Business/Strategic Management
5,Nevada,19.00 - 19.00 $ /hour,Experienced (Non-Manager)
6,California,40.00 - 40.00 $ /hour,Experienced (Non-Manager)
7,California,0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
8,Massachusetts,16.00 - 23.00 $ /hour,Accounting/Finance/Insurance
9,Michigan,15.00 - 18.00 $ /hour,Accounting/Finance/Insurance
10,Michigan,20.00 - 26.00 $ /hour,Accounting/Finance/Insurance
11,New jersey,12.00 - 14.00 $ /hour,Experienced (Non-Manager)
12,Florida,11.85 - 11.85 $ /hour,Security/Protective Services
13,Delaware,14.00 - 14.00 $ /hour,Experienced (Non-Manager)
14,New York,30.93 - 30.93 $ /hour,Security/Protective Services
15,Virginia,15.00 - 17.00 $ /hour,Security/Protective Services
16,Maryland,20.00 - 23.00 $ /hour,Security/Protective Services
17,Florida,0.00 - 12.25 $ /hourPlus benefits,Experienced (Non-Manager)
18,Texas,55.00 - 65.00 $ /hour,IT/Software Development
19,Ohio,11.00 - 11.00 $ /hourBenefits Package,Entry Level
20,Florida,11.00 - 13.00 $ /hour,Security/Protective Services
21,Florida,13.00 - 13.00 $ /hour,Security/Protective Services
22,Texas,12.00 - 15.00 $ /hour,Experienced (Non-Manager)
23,Texas,13.00 - 13.00 $ /hour,Administrative/Clerical
24,Delaware,14.00 - 14.00 $ /hour,Experienced (Non-Manager)
25,Texas,55.00 - 65.00 $ /hour,IT/Software Development
26,New York,26.92 - 26.92 $ /hour,Security/Protective Services
27,Washington,15.00 - 21.90 $ /hour,Experienced (Non-Manager)
28,Colorado,16.00 - 18.00 $ /hour,Customer Support/Client Care
29,Indiana,9.50 - 11.00 $ /hourBenefits + Annual Bonus,Entry Level
30,Iowa,19.50 - 19.50 $ /hour,Security/Protective Services
31,Texas,14.00 - 15.00 $ /hour,Administrative/Clerical
32,Texas,35.00 - 50.00 $ /hour,IT/Software Development
33,Ohio,25.00 - 35.00 $ /hour,IT/Software Development
34,Texas,100.00 - 120.00 $ /hour,IT/Software Development
35,California,30.00 - 35.00 $ /hour,IT/Software Development
36,Iowa,20.00 - 20.00 $ /hour,Experienced (Non-Manager)
37,Texas,0.00 - 20.00 $ /hour,IT/Software Development
38,Texas,75.00 - 100.00 $ /hour,IT/Software Development
39,Tennessee,25.00 - 35.00 $ /hour,IT/Software Development
40,South carolina,25.00 - 35.00 $ /hour,IT/Software Development
41,Texas,55.00 - 75.00 $ /hour,IT/Software Development
42,Wisconsin,25.00 - 35.00 $ /hour,IT/Software Development
43,North Carolina,26.00 - 32.00 $ /hour,Biotech/R&D/Science
44,Florida,10.00 - 12.00 $ /hour,Sales/Retail/Business Development
45,California,19.00 - 19.00 $ /hour,Experienced (Non-Manager)
46,Kentucky,20.00 - 26.00 $ /hour,Biotech/R&D/Science
47,Iowa,19.92 - 19.92 $ /hour,Entry Level
48,Pennsylvania,26.00 - 32.00 $ /hour,Medical/Health
49,Texas,24.00 - 24.00 $ /hour,Human Resources
50,Texas,13.50 - 14.00 $ /hour,Customer Support/Client Care
51,Ohio,0.00 - 15.00 $ /hour,Marketing/Product
52,California,70.00 - 85.00 $ /hour,Experienced (Non-Manager)
53,North Carolina,35.00 - 40.00 $ /hour,Project/Program Management
54,Tennessee,15.00 - 22.00 $ /hour,Legal
55,California,0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
56,Tennessee,15.50 - 16.00 $ /hour,Experienced (Non-Manager)
57,Colorado,20.00 - 24.00 $ /hour,Human Resources
58,California,25.00 - 30.00 $ /hour,Human Resources
59,California,0.00 - 29.00 $ /hour,Accounting/Finance/Insurance
60,California,18.00 - 22.00 $ /hour,Accounting/Finance/Insurance
61,California,0.00 - 21.00 $ /hour,Accounting/Finance/Insurance
