,location,salary,sector
0,Houston,22886.492622020432,Entry Level
1,Denver,31729.00113507378,Experienced (Non-Manager)
2,Clutch City,119633.93870601589,Experienced (Non-Manager)
3,Willoughby Hills,40571.50964812713,Experienced (Non-Manager)
4,Telecommute,98828.03632236096,Experienced (Non-Manager)
5,Margate,24967.082860385926,Customer Support/Client Care
6,Denver,147721.90692395007,IT/Software Development
7,Anaheim,35370.03405221339,Administrative/Clerical
8,Eden Prairie,37450.62429057889,Accounting/Finance/Insurance
9,Minneapolis,35370.03405221339,Business/Strategic Management
10,Las Vegas,39531.21452894439,Experienced (Non-Manager)
11,Irvine,83223.60953461975,Experienced (Non-Manager)
12,San Diego,20805.90238365494,Accounting/Finance/Insurance
13,Boston,40571.50964812713,Accounting/Finance/Insurance
14,Grand Rapids,34329.73893303065,Accounting/Finance/Insurance
15,Grand Rapids,47853.57548240636,Accounting/Finance/Insurance
16,Cherry Hill,27047.67309875142,Experienced (Non-Manager)
17,Orlando,24654.9943246311,Security/Protective Services
18,Newark,29128.263337116914,Experienced (Non-Manager)
19,New York,64352.65607264473,Security/Protective Services
20,N Springfld,33289.4438138479,Security/Protective Services
21,Columbia,44732.69012485812,Security/Protective Services
22,Saint Petersburg,12743.61520998865,Experienced (Non-Manager)
23,Dallas,124835.41430192963,IT/Software Development
24,Parma,22886.492622020432,Entry Level
25,Palm Bay,24967.082860385926,Security/Protective Services
26,Port Canaveral,27047.67309875142,Security/Protective Services
27,Dallas,28087.96821793417,Experienced (Non-Manager)
28,Dallas,27047.67309875142,Administrative/Clerical
29,Newark,29128.263337116914,Experienced (Non-Manager)
30,Dallas,124835.41430192963,IT/Software Development
31,New York,56009.4892167991,Security/Protective Services
32,Seattle,38386.88989784336,Experienced (Non-Manager)
33,Centennial,35370.03405221339,Customer Support/Client Care
34,Indianapolis,21326.04994324631,Entry Level
35,Cedar Rapids,40571.50964812713,Security/Protective Services
36,Arlington,30168.55845629966,Administrative/Clerical
37,Dallas,88425.0851305335,IT/Software Development
38,Akron,62417.707150964816,IT/Software Development
39,Dallas,228864.92622020433,IT/Software Development
40,Keswick,67619.18274687855,IT/Software Development
41,Sioux City,41611.80476730988,Experienced (Non-Manager)
42,Irving,20805.90238365494,IT/Software Development
43,Irving,182051.6458569807,IT/Software Development
44,Memphis,62417.707150964816,IT/Software Development
45,Columbia,62417.707150964816,IT/Software Development
46,Dallas,135238.3654937571,IT/Software Development
47,Green Bay,62417.707150964816,IT/Software Development
48,East Durham,60337.11691259932,Biotech/R&D/Science
49,Brandon,22886.492622020432,Sales/Retail/Business Development
50,San Diego,39531.21452894439,Experienced (Non-Manager)
